Case Number,Date,Year,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,original order
2015.05.25,25-May-15,2015,Unprovoked,FRENCH POLYNESIA,Spearfishing,M,19,Lacerations to right forearm,N,08h00,1m to 1.2 m shark,5792
2015.05.24,24-May-15,2015,Unprovoked,USA,Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,,,5791
2015.05.20,20-May-15,2015,Unprovoked,USA,Surfing,M,18,2 puncture wounds to  dorsum of left foot,N,10h30,5' shark,5790
2015.05.15,15-May-15,2015,Unprovoked,USA,,M,30,Laceration to foot ,N,14h15,6' shark,5789
2015.05.09,09-May-15,2015,Unprovoked,NEW CALEDONIA,Snorkeling,M,50,FATAL,Y,,"Bull shark, 3.5 m",5788
2015.05.07,07-May-15,2015,Unprovoked,USA,Swimming,M,,"Lacerations to lower left leg, ankle & foot",N,15h00,,5787
2015.05.03,03-May-15,2015,Unprovoked,AUSTRALIA,Surfing,M,,Injuries to left arm & right hand,N,15h00,White shark,5786
2015.05.02,02-May-15,2015,Unprovoked,SOUTH AFRICA,Diving,M,29,"Injuries to leg, left arm & both hands",N,13h00,"White shark, 3.5 m",5785
2015.04.29,29-Apr-15,2015,Unprovoked,USA,Snorkeling,F,65,FATAL,Y,09h00,,5784
2015.04.26,26-Apr-15,2015,Unprovoked,USA,Wading,M,63,Lacerations to left calf,N,16h30,3- to 4-foot shark,5783
2015.04.25,25-Apr-15,2015,Unprovoked,AUSTRALIA,Surfing,M,26,Leg severed at mid-thigh,N,09h45,"White shark, 6 m",5782
2015.04.24.c,24-Jun-15,2015,Unprovoked,AUSTRALIA,Surf skiing ,M,71,"No injury, knocked off ski",N,11h00,"White shark, 3 m",5781
2015.04.13,13-Apr-15,2015,Unprovoked,USA,Photographing the shark,M,48,Lacerations to shoulder and left bicep,N,,"Blue shark, 8 to 9 feet",5780
2015.04.11,11-Apr-15,2015,Unprovoked,AUSTRALIA,Paddle boarding,M,,Ankle injured,N,07h30,,5779
2015.04.12,12-Apr-15,2015,Unprovoked,REUNION,Surfing,M,13,FATAL,Y,09h00,Bull shark,5778
2015.03.31,31-Mar-15,2015,Invalid,BRAZIL,Surfing,M,23,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,N,11h00,No shark involvement,5777
2015.04.03,03-Apr-15,2015,Unprovoked,USA,Spearfishing,M,70,Injuries to head & torso,N,Afternoon,Bull shark,5776
2015.03.29,29-Mar-15,2015,Invalid,ITALY,Diving,M,43,"FATAL, but shark involvement prior to death unconfirmed",Y,,Shark involvement not cofirmed,5775
2015.03.26,26-Mar-15,2015,Boat,SOUTH AFRICA,Kayak Fishing,M,36,No injury but kayak bitten,N,,"White shark, 4 m",5774
2015.03.21,21-Mar-15,2015,Unprovoked,EGYPT,Swimming,M,52,FATAL,Y,,Mako shark,5773
2015.03.18,18-Mar-15,2015,Unprovoked,USA,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,11h45,"Tiger shark, 8 to 12 feet",5772
2015.03.16,16-Mar-15,2015,Unprovoked,FRENCH POLYNESIA,Hand feeding sharks,M,9,Hand bitten,N,10h00,Blacktip shark,5771
2015.03.11,11-Mar-15,2015,Boat,AUSTRALIA,Fishing,M,,Bruised in falling overboard as shark bumped boat,N,Morning,,5770
2015.03.10,10-Mar-15,2015,Provoked,MEXICO,Fishing,M,36,Right hand bitten by hooked shark PROVOKED INCIDENT,N,10h20,,5769
2015.03.07,07-Mar-15,2015,Unprovoked,FRENCH POLYNESIA,Sitting in the water,M,18 months,Thigh bitten,N,,Blacktip Reef shark ,5768
2015.02.15,15-Feb-15,2015,Boat,ATLANTIC OCEAN,Transatlantic Rowing,,,"No injury, shark bit rudder",N,,White shark,5767
2015.02.14,14-Feb-15,2015,Unprovoked,REUNION,Swimming,F,22,FATAL,Y,18h30,"Tiger shark, 3.5 m",5766
2015.02.09,09-Feb-15,2015,Unprovoked,AUSTRALIA,Surfing,M,41,FATAL,Y,10h00,3.5 to 4 m shark,5765
2015.02.08,08-Feb-15,2015,Unprovoked,AUSTRALIA,Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,06h45,2 m to  3 m shark,5764
2015.02.05,05-Feb-15,2015,Unprovoked,AUSTRALIA,Bodysurfing,M,,5 minor puncture wounds to lower left leg,N,,1.8 m shark,5763
2015.01.30,30-Jan-15,2015,Boat,AUSTRALIA,Rowing,M,57,"No injury, shark's teeth scratched hull",N,05h00,"Bull shark, 1.3 m",5762
2015.01.27,27-Jan-15,2015,Provoked,USA,Shark fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,03h30,4' shark,5761
2015.01.24,24-Jan-15,2015,Unprovoked,AUSTRALIA,Surfing,M,,"No injury, surfboard dented",N,,,5760
2015.01.19.b,19-Jan-15,2015,Boat,USA,Fishing,M,,No injury but shark bit trolling motor & rammed boat,N,,White shark,5759
2015.01.19.a,19-Jan-15,2015,Invalid,AUSTRALIA,Surfing & filming dolphins,F,,Board snapped in two,N,,Shark involvement not confirmed,5758
2015.01.17,17-Jan-15,2015,Boat,AUSTRALIA,Fishing,M,,"Shark bumped boat, no injury to occupants",N,13h45,5 m shark,5757
2015.01.16,16-Jan-15,2015,Unprovoked,AUSTRALIA,Filming,M,17,Bitten on hand & wrist,N,,1.5 m shark,5756
2015.01.08,08-Jan-15,2015,Invalid,USA,Swimming after falling overboard,M,38,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",N,Night,No shark involvement,5755
2015.01.06,06-Jan-15,2015,Unprovoked,BAHAMAS,Snorkeling,F,34,Severe bite to right flank,N,16h00,White shark or oceanic whitetip shark,5754
2015.01.03,03-Jan-15,2015,Unprovoked,SOUTH AFRICA,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,08h00,"Raggedtooth shark, 1.3 m",5753
2015.01.01,01-Jan-15,2015,Unprovoked,USA,,M,12,Leg bitten,N,Afternoon,"""A small shark""",5752
2014.12.29.b,29-Dec-14,2014,Unprovoked,AUSTRALIA,Surfing,,,Lacerations to both feet,N,Morning,2 m shark,5751
2014.12.29.a,29-Dec-14,2014,Unprovoked,AUSTRALIA,Spearfishing,M,17,FATAL,Y,Morning,"White shark, 4 to 5 m",5750
2014.12.28.d,28-Dec-14,2014,Sea Disaster,GREECE,,,,"Of 9 bodies recovered, one was bitten by a shark",N,,Shark involvement prior to death still to be determined,5749
2014.12.28.c,28-Dec-14,2014,Invalid,SOUTH AFRICA,Swimming,,,Minor cuts on feet,N,Morning,Shark involvement not confirmed & highly unlikely,5748
2014.12.28.b,28-Dec-14,2014,Unprovoked,USA,Surfing,M,50,Injury to hip/leg,N,11h30,"White shark, 8' to 10'",5747
2014.12.28.a,28-Dec-14,2014,Provoked,AUSTRALIA,Fishing,M,40s,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,Morning,1.5 m shark,5746
2014.12.23.R,Reported 23-Dec-2014,2014,Unprovoked,JAPAN,Diving / Filming,M,,"No injury, shark snagged its teeth in diver's suit",N,,Goblin shark,5745
2014.12.15,15-Dec-14,2014,Unprovoked,AUSTRALIA,Spearfishing,M,17,FATAL,Y,11h30,,5744
2014.12.03.R,Reported 03-Dec-2014,2014,Provoked,SPAIN,Fishing for blue sharks,M,,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,07h00,,5743
2014.11.29,29-Nov-14,2014,Unprovoked,AUSTRALIA,Surfing,M,13,Minor injuries to right leg,N,Sometime between 06h00 & 08hoo,,5742
2014.11.20,20-Nov-14,2014,Provoked,MAURITIUS,Fishing,M,39,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,,,5741
2014.11.19,19-Nov-14,2014,Boat,AUSTRALIA,Fishing,M,,"Shark chasing fish bumped boat, no injury to occupants",N,,White shark,5740
2014.11.16,16-Nov-14,2014,Unprovoked,USA,Surfing,M,44,Laceration to left hand,N,13h00,2' shark,5739
2014.11.17,Reported 17-Nov-2014,2014,Boat,USA,,,,"Shark bumped boat, no injury to occupants",N,,White shark,5739
2014.11.13,13-Nov-14,2014,Unprovoked,USA,Snorkeling,M,53,Laceration to left upper leg,N,13h30,1.5 m shark,5738
2014.11.10,10-Nov-14,2014,Unprovoked,AUSTRALIA,Surfing,M,,Minor injury to lower leg and foot,N,06h30,,5737
2014.11.08,08-Nov-14,2014,Unprovoked,USA,Surfing,M,18,Minor injuries to hand & arm ,N,16h30,,5736
2014.10.31,31-Oct-14,2014,Unprovoked,USA,Surfing,F,34,Lacerations to fingers,N,11h00,"Tiger shark, 12'",5735
2014.10.30,29-Oct-14,2014,Provoked,AUSTRALIA,Surfing,M,20,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,18h00,,5734
2014.10.22,22-Oct-14,2014,Unprovoked,USA,Stand-Up Paddleboarding,F,,"No injury, paddleboard bitten",N,10h00,Tiger shark,5733
2014.10.20,20-Oct-14,2014,Unprovoked,USA,Stand-Up Paddleboarding,M,,"No injury, paddleboard bitten",N,08h00,,5732
2014.10.19,19-Oct-14,2014,Boat,USA,Canoeing,F,,"No injury to occupant, canoe bitten",N,,,5731
2014.10.18,18-Oct-14,2014,Unprovoked,USA,Surfing,M,,"No injury, surfboard bitten",N,11h15,12' to 14' shark,5730
2014.10.17,17-Oct-14,2014,Unprovoked,AUSTRALIA,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30,1 m shark,5729
2014.10.14,14-Oct-14,2014,Unprovoked,USA,Standing in inner tube,F,7,Lacerations to left foot,N,,"Bull shark, 3' to 4'",5728
2014.10.12,12-Oct-14,2014,Unprovoked,USA,Body surfing or Boogie boarding,F,,Laceration to right hand/wrist,N,15h30,,5727
2014.10.07,07-Oct-14,2014,Unprovoked,USA,Fishing,F,40,Thigh bitten,N,Afternoon,,5726
2014.10.11,11-Oct-14,2014,Boat,AUSTRALIA,Kayaking,M,,"Kayak deflated, no injury to occupants",N,17h20,,5725
2014.10.05.b,05-Oct-14,2014,Unprovoked,USA,Surfing,M,29,Foot bitten,N,11h30,Blacktip shark,5723
2014.10.05.a,05-Oct-14,2014,Unprovoked,USA,Surfing,M,15,Foot bitten,N,11h00,Blacktip shark,5722
2014.10.03.b,03-Oct-14,2014,Boat,USA,Kayaking,M,,"No injury to occupant, shark/s holded  kayak",N,14h00,"White shark, 18' to 20'",5721
2014.10.03.a,03-Oct-14,2014,Boat,USA,Kayaking ,M,,"No injury to occupant, shark/s holded  kayak",N,11h30,White shark,5720
2014.10.02.b,02-Oct-14,2014,Unprovoked,USA,Surfing,M,28,Lacerations to knee,N,17h30,8' to 10' shark,5719
2014.10.02.a,02-Oct-14,2014,Unprovoked,AUSTRALIA,Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,11h00,"2 white shark: 13' & 9""8""",5718
2014.09.21,21-Sep-14,2014,Unprovoked,USA,Surfing,M,,Minor injury to left foot,N,11h30,,5717
2014.09.13.R,Reported 12-Sep-2014,2014,Unprovoked,FRENCH POLYNESIA,Feeding fish,F,36,Thumb & finger nipped,N,,Blacktip shark,5716
2014.09.13,13-Sep-14,2014,Invalid,USA,Surfing,M,,"A hoax, no shark involvement",N,18h45,No shark involvement,5715
2014.09.09,09-Sep-14,2014,Unprovoked,AUSTRALIA,Swimming,M,50,FATAL,Y,10h45,7' shark,5714
2014.09.06,06-Sep-14,2014,Unprovoked,USA,Fishing ,M,43,Leg bitten,N,13h00,Bull shark,5713
2014.09.03,03-Sep-14,2014,Unprovoked,USA,Kayaking ,F,20s,"No injury, shark bit kayak",N,18h00,"White shark, 12' to 14'",5712
2014.09.02,02-Sep-14,2014,Provoked,USA,Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,20h00,3' to 4' shark,5711
2014.09.00,Sep-14,2014,Unprovoked,SPAIN,Playing with an air mattress,M,16,Lacerations to right hand,N,,,5710
2014.08.31,31-Aug-14,2014,Unprovoked,USA,Body surfing,F,13,Injury to left calf,N,16h40,Spinner shark,5709
2014.08.29.b,29-Aug-14,2014,Unprovoked,USA,Surfing,M,17,Lacerations to shin,N,,Spinner shark or blacktip shark,5708
2014.08.29.a,29-Aug-14,2014,Invalid,USA,,,,Shark involvement not confirmed,N,16h18,Shark involvement not confirmed,5707
2014.08.28,28-Aug-14,2014,Provoked,USA,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,,,5706
2014.08.27.c,27-Aug-14,2014,Unprovoked,SPAIN,Swimming,F,30s,Minor lacerations to posterior lower leg,N,,small shark,5705
2014.08.27.b,27-Aug-14,2014,Unprovoked,USA,Surfing,M,29,Laceration to left hand,N,,4' to 6' shark,5704
2014.08.27.a,27-Aug-14,2014,Unprovoked,USA,Standing,F,,Heel bitten,N,15h00,,5703
2014.08.25,Reported 25-Aug-2014,2014,Provoked,USA,Fishing for sharks,M,,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,,"Bull shark, 4.5' ",5702
2014.08.24,24-Aug-14,2014,Unprovoked,USA,Kite boarding,,,Laceration to left foot,N,,4' shark,5701
2014.08.16,16-Aug-14,2014,Unprovoked,AUSTRALIA,Spearfishing,M,31,Lacerations to face and neck,N,,reef shark,5700
2014.08.12,12-Aug-14,2014,Unprovoked,USA,Standing,M,,Puncture wounds and lacerations to left thigh and knee,N,11h10," Bull shark, 8'",5699
2014.08.10,10-Aug-14,2014,Unprovoked,USA,,M,26,Puncture wounds & lacerations to foot,N,,,5698
2014.08.09.R,09-Aug-14,2014,Unprovoked,BAHAMAS,Spearfishing,M,,Puncture wounds to right foot and ankle,N,,"Bull shark, 9' to 10'",5697
2014.08.09,09-Aug-14,2014,Unprovoked,USA,Swimming,F,10,Puncture wounds to right foot & ankle,N,13h30,,5696
2014.08.08,08-Aug-14,2014,Unprovoked,USA,Swimming,M,7,Minor lacerations to left heel and big toe,N,Afternoon," Bull shark, 5'",5695
2014.08.06,06-Aug-14,2014,Unprovoked,USA,Boogie boarding,M,10,Lacerations to right leg & foot,N,14h00,4' tp 5' shark,5694
2014.08.05,05-Aug-14,2014,Unprovoked,USA,Swimming,F,45,Lacerations to  foot,N,,,5693
2014.08.02,02-Aug-14,2014,Unprovoked,USA,Surfing,M,50s,Foot bitten,N,,,5692
2014.08.02,02-Aug-14,2014,Unprovoked,USA,Boogie boarding,M,8,Laceration to ankle,N,13h00,,5691
2014.08.01,01-Aug-14,2014,Unprovoked,SOUTH AFRICA,Surfing,M,20,Lower limbs & thigh bitten,N,14h00,White shark,5690
2014.07.27,27-Jul-14,2014,Unprovoked,USA,Swimming,M,Teen,Left foot bitten,N,,Possibly juvenile tiger shark,5688
2014.07.22,22-Jul-14,2014,Unprovoked,REUNION,Surfing,M,51,Lacerations to right wrist & calf,N,15h00,1.8 metre shark,5687
2014.07.21,21-Jul-14,2014,Unprovoked,USA,Standing,M,8,Lacerations to right knee,N,Early afternoon,,5686
2014.07.20,20-Jul-14,2014,Unprovoked,SPAIN,Wading,,,Minor injury,N,,Angel shark,5685
2014.07.16,16-Jul-14,2014,Unprovoked,USA,Swimming,M,61,Lacerations to left foot,N,17h50,6' to 8' shark,5684
2014.07.14,14-Jul-14,2014,Unprovoked,USA,Swimming,M,39,Puncture wounds to foot,N,14h30,4' shark,5683
2014.07.13,13-Jul-14,2014,Invalid,BAHAMAS,Shark diving,M,63,"Missing after a dive, shark involvement considered probable, but not confirmed",Y,Night,Shark involvement not confirmed,5682
2014.07.12,12-Jul-14,2014,Unprovoked,USA,Body surfing,M,,Lacerations to hand and wrist,N,,,5681
2014.07.09,09-Jul-14,2014,Unprovoked,USA,Surfing,M,14,Lacerations to foot,N,14h00,,5680
2014.07.05.b,05-Jul-14,2014,Provoked,USA,Swimming,M,,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N,09h30," White shark, 7' ",5679
2014.07.05.a,05-Jul-14,2014,Unprovoked,USA,Surfing,M,,"No injury, surboard bitten",N,07h00 - 08h00,,5678
2014.07.03,03-Jul-14,2014,Unprovoked,USA,Body surfing,M,19,Right hand bitten,N,18h15-18h30,4' to 5' shark,5677
2014.06.27.R,Reported 27-Jun-2014,2014,Boat,ST. MARTIN,Transatlantic Rowing,M,48,His boat was holed by a shark,N,,Oceanic whitetip shark',5676
2014.06.25,25-Jun-14,2014,Unprovoked,BAHAMAS,Spearfishing,M,42,No injury but shark took his pole spear,N,13h00,"Caribbean reef shark, 7' to 8'",5675
2014.06.18.b,18-Jun-14,2014,Unprovoked,AUSTRALIA,Surfing,M,,"No injury, surfboard 'attacked'",N,17h01,,5674
2014.06.18.a,18-Jun-14,2014,Unprovoked,AUSTRALIA,Body boarding,M,15,Lacerations to knee,N,17h00,,5673
2014.06.17.R,Reported 17-Jun-2014,2014,Provoked,AUSTRALIA,Petting a shark,M,,Lacerations to right hand by captive shark PROVOKED INCIDENT,N,," Lemon shark, 3.5 m",5672
2014.06.09.c,09-Jun-14,2014,Unprovoked,BRAZIL,Fishing,M,43,Severe injury to arm,N,,,5671
2014.06.09.b,09-Jun-14,2014,Unprovoked,USA,Standing,M,16,"Abrasion to right hand, lacerations to left forearm",N,17h00," Sandbar shark, 3' to 4'",5670
2014.06.09.a,09-Jun-14,2014,Unprovoked,AUSTRALIA,Body boarding,M,39,Minor injury to torso,N,09h45,"Bronze whaler shark, 1.5m",5669
2014.06.08,08-Jun-14,2014,Unprovoked,JAPAN,Surfing,M,43,Left arm bitten,N,Afternoon,,5668
2014.06.07,07-Jun-14,2014,Unprovoked,USA,Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,N,Afternoon,,5667
2014.06.01.c,01-Jun-14,2014,Unprovoked,USA,Swimming,F,22,Laceration to right lower leg,N,13h30,Bull shark,5666
2014.06.01.b,01-Jun-14,2014,Unprovoked,AUSTRALIA,Surfing,M,,Lacerations & puncture wounds to ankle and foot,N,Morning,,5665
2014.06.01.a,01-Jun-14,2014,Unprovoked,USA,Tagging sharks,F,37,Laceration to left hand,N,,Blacktip Reef shark ,5664
2014.05.27.R,24-May-14,2014,Unprovoked,AUSTRALIA,Fell into the water,F,29,Lacerations to legs,N,," Bull shark, 1.2m ",5663
2014.05.23,23-May-14,2014,Unprovoked,FRANCE,Scuba diving,M,,Lacerations to left thigh and hip,N,Morning,3m shark,5662
2014.05.22,22-May-14,2014,Provoked,AUSTRALIA,Teasing a shark,M,10,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N,," Tawney nurse shark, 1m",5661
2015.11.20,20-Nov-15,2015,Unprovoked,ECUADOR,Snorkeling,M,55,Lacerations to left calf,N,10h15,Galapagos shark,5661
2014.05.15,15-May-14,2014,Unprovoked,USA,Body boarding,F,38,Calf bitten,N,11h30,,5660
2014.05.14,14-May-14,2014,Unprovoked,AUSTRALIA,Surfing,M,35,"No injury, but surfboard severely damaged",N,09h30," white shark, 15' ",5659
2014.05.13,13-May-14,2014,Unprovoked,USA,Wading,F,44,Lacerations and puncture wounds to right foot,N,11h00,,5658
2014.05.11,11-May-14,2014,Unprovoked,USA,Surfing,M,12,Puncture wounds to right thigh,N,,Shark involvement not confirmed,5657
2014.05.10.R,Reported 10-May-2014,2014,Invalid,USA,Diving,M,,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",N,,No shark involvement,5656
2014.05.06,06-May-14,2014,Unprovoked,USA,Swimming,F,40,Lacerations to left foot,N,15h00,4' to 5' shark,5655
2014.05.01,01-May-14,2014,Unprovoked,USA,Surfing,M,23,Laceration to right hand and cuts on fingertips,N,15h00,3' shark,5654
2014.04.24,24-Apr-14,2014,Unprovoked,AUSTRALIA,Spearfishing,M,,Minor injury,N,,reef shark?,5653
2014.04.22,22-Apr-14,2014,Unprovoked,USA,Swimming,M,42,Laceration & puncture wounds to right foot,N,15h30,,5652
2014.04.15,15-Apr-14,2014,Unprovoked,USA,Wading,M,25,Minor lacerations to left foot,N,09h57,,5651
2014.04.12.R,Reported 12-Apr-2014,2014,Boat,SOUTH AFRICA,Shark watching,,,"No injury to occupants, shark bit pontoon",N,,White shark,5650
2014.04.12,12-Apr-14,2014,Provoked,SOUTH AFRICA,Fishing,M,,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N,Morning," Raggedtooth shark, 2m",5649
2014.04.04.b,04-Apr-14,2014,Unprovoked,USA,Surfing,M,teen,Minor puncture wounds to lower left leg,N,13h50,,5648
2014.04.04.a,04-Apr-14,2014,Unprovoked,USA,Surfing,M,teen,Lacerations to foot,N,13h30,,5647
2014.04.03,03-Apr-14,2014,Unprovoked,AUSTRALIA,Swimming,F,63,FATAL,Y,08h20,3 m to 4 m white shark,5646
2014.03.29,29-Mar-14,2014,Invalid,AUSTRALIA,Diving for lobsters,M,38,Shark bites may have been post mortem,Y,13h30,,5645
2014.03.22.b,22-Mar-14,2014,Unprovoked,SOUTH AFRICA,Swimming,M,66,FATAL,Y,15h00,2 m shark,5644
2014.03.22.a,22-Mar-14,2014,Unprovoked,USA,Kite Surfing,M,,Lacerations to left forearm,N,,4' to 5' shark,5643
2014.03.21,21-Mar-14,2014,Unprovoked,USA,Surfing,M,9,Lacerations to toes and heel of right foot,N,,,5642
2014.03.18.c,18-Mar-14,2014,Unprovoked,NEW CALEDONIA,Kite Surfing,M,42,Lacerations to calf,N,17h58,,5641
2014.03.18.b,18-Mar-14,2014,Unprovoked,AUSTRALIA,Surfing,M,42,Shark leapt onto surfboard; surfer uninjured ,N,Morning,,5640
2014.03.13,13-Mar-14,2014,Invalid,CAYMAN ISLANDS,Scuba diving / culling lionfish,M,,"Caribbean reef shark buzzed him. No injury, no attack. ",N,,,5639
2014.03.18,18-Mar-14,2014,Invalid,AUSTRALIA,,F,10,"Injuries to wrist/hand by a mackerel, not a shark",N,17h00,No shark involvement,5638
2014.03.12,12-Mar-14,2014,Unprovoked,AUSTRALIA,Swimming,M,,Minor lacerations to foot,N,18h00,Wobbegong shark,5637
2014.03.02,02-Mar-14,2014,Unprovoked,USA,Surfing,M,21,Lacerations to toes,N,,Blacktip or spinner shark?,5636
2014.02.20,20-Feb-14,2014,Unprovoked,FRENCH POLYNESIA,Kitesurfing,M,21,Lacerations to lower leg,N,16h00,Blacktip reef shark ,5635
2014.02.17,Reported 17-Feb-2014,2014,Boat,PAPUA NEW GUINEA,Sailing,M,21,"No injury to occupants, hull bitten",N,Night,,5634
2014.02.08,08-Feb-14,2014,Unprovoked,AUSTRALIA,Spearfishing / Free diving,M,28,FATAL,Y,12h00,,5633
2014.02.07.b,07-Feb-14,2014,Provoked,TRINIDAD & TOBAGO,Fishing,M,,Possibly a PROVOKED INCIDENT,N,,,5632
2014.02.07,07-Feb-14,2014,Unprovoked,NEW ZEALAND,Surfing,M,28,Lacerations to leg,N,20h30,7-gill shark?,5631
2014.01.26,26-Jan-14,2014,Provoked,AUSTRALIA,Fishing,M,,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,N,,1m shark,5630
2014.01.25,25-Jan-14,2014,Unprovoked,NEW ZEALAND,Spearfishing,M,24,Minor injury to left lower leg & heel,N,,7-gill shark,5629
2014.01.04,04-Jan-14,2014,Sea Disaster,JAPAN,Sea disaster,M,31,5 cm bite to left foot,N,,,5628
2014.00.00,2014,2014,Boat,NEW ZEALAND,Filming a documentary,,,"No injury to occupants, shark nudged and bit boat",N,,"White shark, 6 m",5627
2013.12.25,25-Dec-13,2013,Unprovoked,NEW CALEDONIA,Snorkeling,M,37,Leg bitten,N,11h00,Reported to involve a bull shark,5626
2013.12.16,16-Dec-13,2013,Unprovoked,SOUTH AFRICA,Surfing,M,19,Injuries to left thigh,N,08h45,"White shark, 3m ",5625
2013.12.13,13-Dec-13,2013,Unprovoked,KIRIBATI,Attempting to remove fishing net from submerged object,M,35,Severe injury to arm,N,,,5624
2013.12.11,11-Dec-13,2013,Unprovoked,USA,Boogie boarding,M,29,Lacerations to right hand & knee,N,08h00,"Tiger shark, 10' to 12'",5623
2013.12.10,10-Dec-13,2013,Unprovoked,USA,Surfing,M,30,Right foot bitten,N,14h30,4' to 6' shark,5622
2013.12.05,05-Dec-13,2013,Unprovoked,AUSTRALIA,Surfing,M,26,"Puncture wounds to hand, laceration to leg",N,18h15," Wobbegong shark, 1.6 to 1.8m ",5621
2013.12.02,02-Dec-13,2013,Unprovoked,USA,Kayaking / Fishing,M,57,FATAL,Y,09h00,,5620
2013.11.30,30-Nov-13,2013,Unprovoked,AUSTRALIA,Body boarding,M,19,FATAL,Y,14h00,"Tiger shark, 3m ",5619
2013.11.29,29-Nov-13,2013,Unprovoked,USA,Snorkeling,F,58,Right calf bitten,N,13h00,,5618
2013.11.23.a,23-Nov-13,2013,Unprovoked,AUSTRALIA,Surfing,M,35,FATAL,Y,09h00,Thought to involve a white shark,5617
2013.11.22,22-Nov-13,2013,Unprovoked,USA,Surfing,M,25,"No injury, board bitten",N,10h30,"White shark, 10 '",5616
2013.11.12,12-Nov-13,2013,Unprovoked,AUSTRALIA,Surfing,M,,"No injury, board bumped by shark",N,15h00,Reported to involve a white shark,5615
2013.11.10,10-Nov-13,2013,Provoked,BAHAMAS,Shark fishing,M,77,Injuries to arm & leg by hooked shark   PROVOKED INCIDENT,N,11h00,,5614
2013.11.07.b,07-Nov-13,2013,Unprovoked,USA,Body boarding,M,16,"No injury, swim fin bitten",N,Afternoon,,5613
2013.11.07.a,07-Nov-13,2013,Unprovoked,USA,Surfing,M,,Foot bitten,N,,,5612
2013.10.31,31-Oct-13,2013,Unprovoked,USA,Kiteboarding,M,46,Severe bite to right calf & anklel,N,15h19,Tiger shark,5611
